"pmax","temp","ma","lag"
40880,202940,121910,472.33698630137
365,202940,121910,549.783561643836
365000,162425,121910,121.720547945205
324485,162425,121910,128.676712328767
283970,162425,121910,138.079452054795
243455,162425,121910,151.775342465753
202940,162425,121910,174.865753424658
162425,162425,121910,242.339726027397
121910,162425,121910,299.750684931507
81395,162425,121910,331.175342465753
40880,162425,121910,377.230136986301
365,162425,121910,450.769863013699
365000,121910,121910,108.657534246575
324485,121910,121910,113.038356164384
283970,121910,121910,118.832876712329
243455,121910,121910,126.909589041096
202940,121910,121910,139.115068493151
162425,121910,121910,161.369863013699
121910,121910,121910,235.265753424658
81395,121910,121910,266.238356164384
40880,121910,121910,301.942465753425
365,121910,121910,362.619178082192
365000,81395,121910,101.208219178082
324485,81395,121910,103.728767123288
283970,81395,121910,107.076712328767
243455,81395,121910,111.758904109589
202940,81395,121910,118.854794520548
162425,81395,121910,131.268493150685
121910,81395,121910,167.197260273973
81395,81395,121910,229.909589041096
40880,81395,121910,255.342465753425
365,81395,121910,298.684931506849
365000,40880,121910,105.939726027397
324485,40880,121910,107.175342465753
283970,40880,121910,108.821917808219
243455,40880,121910,111.128767123288
202940,40880,121910,114.608219178082
162425,40880,121910,120.545205479452
121910,40880,121910,133.753424657534
81395,40880,121910,208.320547945205
40880,40880,121910,229.06301369863
365,40880,121910,256.909589041096
365000,365,121910,116.956164383562
324485,365,121910,117.416438356164
283970,365,121910,118.019178082192
243455,365,121910,118.860273972603
202940,365,121910,120.090410958904
162425,365,121910,122.093150684932
121910,365,121910,125.942465753425
81395,365,121910,137.090410958904
40880,365,121910,222.098630136986
365,365,121910,230.287671232877
365000,365000,81395,197.517808219178
324485,365000,81395,224.569863013699
283970,365000,81395,771.553424657534
243455,365000,81395,780.391780821918
202940,365000,81395,791.317808219178
162425,365000,81395,805.783561643836
121910,365000,81395,825.624657534247
81395,365000,81395,853.942465753425
40880,365000,81395,896.898630136986
365,365000,81395,967.358904109589
365000,324485,81395,184.397260273973
324485,324485,81395,204.216438356164
283970,324485,81395,250.304109589041
243455,324485,81395,676.183561643836
202940,324485,81395,687.243835616438
162425,324485,81395,701.504109589041
121910,324485,81395,721.104109589041
81395,324485,81395,749.205479452055
40880,324485,81395,792.030136986301
365,324485,81395,862.479452054794
365000,283970,81395,171.120547945205
324485,283970,81395,186.230136986301
283970,283970,81395,212.446575342466
243455,283970,81395,569.106849315069
202940,283970,81395,583.295890410959
162425,283970,81395,597.550684931507
121910,283970,81395,616.821917808219
81395,283970,81395,644.605479452055
40880,283970,81395,687.227397260274
365,283970,81395,757.635616438356
365000,243455,81395,157.391780821918
324485,243455,81395,169.049315068493
283970,243455,81395,186.849315068493
243455,243455,81395,222.750684931507
202940,243455,81395,477.235616438356
